country,state,postcode,street,building,address_id
Australia,New South Wales,2016,Morning Avenue,60,1
Australia,New South Wales,2153,Meadow Vale Court,6,2
Australia,QLD,4211,Holy Cross Court,0,3
Australia,New South Wales,2448,Del Mar Point,17979,4
Australia,VIC,3216,Oakridge Court,9,5
Australia,New South Wales,2210,Delaware Trail,4,6
Australia,New South Wales,2650,Londonderry Lane,49,7
Australia,New South Wales,2023,7th Trail,97736,8
Australia,VIC,3044,Ludington Park,93405,9
Australia,QLD,4557,Golden Leaf Alley,44339,10
Australia,VIC,3799,Sutherland Street,2,11
Australia,New South Wales,2760,Mcbride Trail,9,12
Australia,New South Wales,2428,New Castle Avenue,9861,13
Australia,VIC,3331,Moland Street,52,14
Australia,VIC,3058,Kensington Lane,82391,15
Australia,New South Wales,2135,2nd Alley,92,16
Australia,New South Wales,2233,Spaight Circle,59,17
Australia,New South Wales,2444,Bartelt Crossing,32,18
Australia,New South Wales,2650,Jenna Center,18,19
Australia,New South Wales,2153,Cordelia Plaza,3,20
Australia,QLD,4413,5th Center,28,21
Australia,QLD,4740,Carey Alley,52,22
Australia,VIC,3218,Texas Plaza,96,23
Australia,QLD,4868,Eagan Avenue,48,24
Australia,QLD,4116,Buell Park,9,25
Australia,New South Wales,2519,Buell Parkway,2663,26
Australia,New South Wales,2135,Pleasure Place,2294,27
Australia,New South Wales,2756,Petterle Place,2951,28
Australia,New South Wales,2170,Lukken Drive,63,29
Australia,QLD,4005,Luster Way,833,30
Australia,QLD,4127,Russell Plaza,34,31
Australia,New South Wales,2535,Del Sol Hill,78,32
Australia,QLD,4726,Sage Plaza,54,33
Australia,QLD,4805,Lawn Parkway,90,34
Australia,New South Wales,2212,Ilene Crossing,38726,35
Australia,New South Wales,2207,Brown Drive,3496,36
Australia,VIC,3350,Cody Way,7188,37
Australia,VIC,3931,Claremont Park,1,38
Australia,QLD,4018,Eagan Circle,60,39
Australia,QLD,4670,Eagle Crest Center,89314,40
Australia,New South Wales,2480,Lakewood Place,2028,41
Australia,VIC,3212,Hudson Point,70875,42
Australia,New South Wales,2322,Killdeer Park,543,43
Australia,VIC,3198,Ramsey Drive,22125,44
Australia,New South Wales,2210,Calypso Terrace,3107,45
Australia,New South Wales,2047,Veith Junction,957,46
Australia,QLD,4503,Gulseth Avenue,4853,47
Australia,New South Wales,2145,Michigan Terrace,9,48
Australia,QLD,4350,Steensland Road,62,49
Australia,New South Wales,2142,Homewood Avenue,6,50
